Sequence Corridor,Start Location,End Location,Establishment Year,Route/Network Name,Historical Context / Key Target
Mexico City - Guadalajara - Durango,"Mexico City, MX","Guadalajara, MX",1531,Camino Real de Sonora (Main Supply Trunk),Initial western conquest axis toward Nueva Galicia.
Mexico City - Guadalajara - Durango,"Guadalajara, MX","Durango, MX",1563,Camino Real de la Vizcaya Link,Connecting the western supply hubs to the silver-rich central plateau.
Durango - El Paso - Santa Fe,"Durango, MX","El Paso (Juarez), MX",1598,El Camino Real de Tierra Adentro (Northern Extension - Leg 1),Blazed by Juan de Oñate to push deep into the northern desert frontier.
Durango - El Paso - Santa Fe,"El Paso (Juarez), MX","Santa Fe, NM",1598,El Camino Real de Tierra Adentro (Northern Extension - Leg 2),Final leg of Oñate's trail to settle the Pueblo lands and establish New Mexico.
Durango - Saltillo - Monclova - Guerrero - San Antonio - Los Adaes,"Durango, MX","Saltillo, MX",1577,Camino Real de la Vizcaya (Eastern Branch),Trans-plateau commercial artery linking central mining capitals to northeastern trading outposts.
Durango - Saltillo - Monclova - Guerrero - San Antonio - Los Adaes,"Saltillo, MX","Monclova, MX",1689,Camino Real de Coahuila (Northeast Trunk),Established as the primary military staging route to push expeditions toward Texas.
Durango - Saltillo - Monclova - Guerrero - San Antonio - Los Adaes,"Monclova, MX","Guerrero (Rio Grande), MX",1701,Camino Real de Coahuila (Gateway Approach),Solidified with the construction of the San Juan Bautista garrison, the 'Gateway to Texas.'
Durango - Saltillo - Monclova - Guerrero - San Antonio - Los Adaes,"Guerrero (Rio Grande), MX","San Antonio, TX",1718,El Camino Real de los Tejas (San Antonio Hub),Founded San Antonio de Béxar as an indispensable supply oasis and defensive anchor.
Durango - Saltillo - Monclova - Guerrero - San Antonio - Los Adaes,"San Antonio, TX","Los Adaes, LA",1721,El Camino Real de los Tejas (Eastern Frontier),Solidified the international border directly adjacent to French Louisiana.
Durango - Saltillo - Monclova - Guerrero - San Antonio - Los Adaes,"Juárez, Coahuila, MX","Nacogdoches, TX",1755,El Camino Real de los Tejas (Lower Route via Laredo),Intentional southern braided route looping through Laredo to leverage flatter plains and bypass northern tribal raids.
Durango - Tubac - Monterey - San Francisco - San Rafael,"Durango, MX","Tubac, AZ",1687,Camino Real de Sonora (Northwestern Advance),Northward push by Jesuits and military forces establishing missions up to southern Arizona.
Durango - Tubac - Monterey - San Francisco - San Rafael,"Tubac, AZ","Monterey, CA",1774,Sonora Corridor / Anza Overland Route,Overland corridor bringing the first waves of civilian settlers and supply herds directly to Alta California.
Durango - Tubac - Monterey - San Francisco - San Rafael,"Monterey, CA","San Francisco, CA",1776,El Camino Real de Alta California (Northern Extension),Extended northward to establish the strategic presidio guarding the mouth of San Francisco Bay.
Durango - Tubac - Monterey - San Francisco - San Rafael,"San Francisco, CA","San Rafael, CA",1817,El Camino Real de Alta California (Trans-Bay Extension),Established as Spain's first medical mission/sanitarium north of the bay to counter Russian presence at Fort Ross.